Artist,Listeners,Daily Trend,Peak,PkListeners
Snakehips,4416767,"-22,309",1325,"6,435,806"
Shae Gill,4416497,202,1660,"5,260,900"
Tay-K,4415620,"14,664",2008,"4,718,738"
Waylon Jennings,4414811,"2,086",2177,"4,597,628"
Shoti,4413599,"-10,620",2177,"4,758,745"
Jọo Bosco & Vinicius,4408832,"34,141",2429,"4,408,832"
Djavan,4408095,"11,121",2334,"4,408,095"
Fedez,4407894,"-21,436",2150,"4,767,763"
CHVRCHES,4403219,"10,146",1762,"5,098,789"
DJ Yuri Martins,4401888,"-11,711",1743,"5,113,640"
Salt-N-Pepa,4399893,"-24,870",2249,"4,445,023"
Skank,4398035,"14,160",2137,"4,398,035"
Dhibu Ninan Thomas,4397703,"-6,316",2411,"4,406,423"
Manan Bhardwaj,4397041,"43,979",2281,"4,480,353"
Jon Secada,4392941,263,1868,"4,789,785"
j-hope,4392348,"2,438",640,"10,803,011"
Joy Division,4392150,"11,476",2303,"4,413,666"
Pinguini Tattici Nucleari,4391952,"-22,118",2254,"4,635,688"
La T y La M,4391293,"-3,101",1683,"5,215,379"
Modest Mouse,4387676,"-3,485",2234,"4,648,070"
Afro Bros,4384006,"31,261",2325,"4,511,287"
thiarajxtt,4383940,"-6,234",1943,"5,123,659"
Mr Eazi,4383417,"2,025",1921,"5,005,526"
Twista,4379827,"19,754",2228,"4,379,827"
Naughty Boy,4377548,"36,988",1937,"4,717,299"
Kizz Daniel,4374432,"6,206",2125,"4,805,607"
Pinkfong,4371131,"-6,808",2358,"4,393,932"
Laura Branigan,4368807,"-7,247",1939,"5,188,828"
BIN,4368162,-774,1959,"4,662,988"
DJ Scheme,4367131,"3,342",2164,"4,583,605"
Molotov,4359370,"3,764",2325,"4,373,784"
Hande Yener,4359306,"7,133",2328,"4,450,724"
TWISTED,4357455,"-13,546",923,"8,195,322"
Julio Iglesias,4353126,"-12,397",2363,"4,434,329"
I Prevail,4352808,"-1,971",2128,"4,685,946"
PNL,4349511,126,1959,"4,885,974"
Damas Gratis,4349068,"-23,550",2230,"4,661,368"
